date,snow_day,snowfall_last_24h,snowfall_last_12h,snowfall_overnight,snowfall_24h,precipitation_overnight,precipitation_24h,no_snowfall_penalty,freezing_rain,temp_min_overnight,wind_speed_avg_overnight,wind_gusts_max_overnight,dewpoint_avg_overnight,temperature0,precipitation0,snowfall0,wind_speed0,wind_gusts0,weather_code0,temperature1,precipitation1,snowfall1,wind_speed1,wind_gusts1,weather_code1,temperature2,precipitation2,snowfall2,wind_speed2,wind_gusts2,weather_code2,temperature3,precipitation3,snowfall3,wind_speed3,wind_gusts3,weather_code3,temperature4,precipitation4,snowfall4,wind_speed4,wind_gusts4,weather_code4,temperature5,precipitation5,snowfall5,wind_speed5,wind_gusts5,weather_code5,temperature6,precipitation6,snowfall6,wind_speed6,wind_gusts6,weather_code6,temperature7,precipitation7,snowfall7,wind_speed7,wind_gusts7,weather_code7
2025-02-14,1,1.12,0.7000000000000001,0.35000000000000003,0.35000000000000003,0.5,0.5,1,False,-9.4,20.5625,43.2,-11.625,-6.8,0.1,0.07,18.3,39.2,True,-6.8,0.2,0.14,19.8,36.7,True,-7.1,0.0,0.0,22.7,41.8,True,-7.7,0.0,0.0,22.1,43.2,True,-7.2,0.1,0.07,20.5,41.0,True,-7.2,0.1,0.07,21.3,39.6,True,-7.6,0.0,0.0,21.3,40.7,True,-7.8,0.0,0.0,18.5,40.3,True
2025-02-17,0,5.74,0.8400000000000001,0.28,2.0300000000000002,0.4,2.9,1,False,-12.2,15.1,56.2,-14.375,-11.1,0.1,0.07,17.1,37.1,True,-11.4,0.1,0.07,16.4,32.4,True,-11.8,0.0,0.0,14.8,31.0,True,-11.8,0.0,0.0,14.4,27.7,True,-11.9,0.0,0.0,14.5,27.4,True,-12.2,0.0,0.0,14.0,27.4,True,-12.0,0.1,0.07,14.6,27.4,True,-11.9,0.1,0.07,15.0,28.8,True
2025-02-18,1,1.96,0.42000000000000004,0.14,2.73,0.2,3.9,1,False,-14.7,14.6375,40.3,-17.5625,-12.6,0.1,0.07,12.4,24.5,True,-13.5,0.1,0.07,12.1,22.7,True,-14.3,0.0,0.0,13.2,24.1,True,-14.7,0.0,0.0,14.8,26.3,True,-14.7,0.0,0.0,16.2,29.5,True,-14.6,0.0,0.0,16.9,31.0,True,-14.7,0.0,0.0,16.0,31.0,True,-14.6,0.0,0.0,15.5,29.2,True
2025-02-19,1,2.73,1.4700000000000002,0.14,0.14,0.2,0.2,1,False,-14.9,9.1625,29.5,-15.0,-10.0,0.2,0.14,12.0,26.6,True,-10.5,0.0,0.0,11.2,22.3,True,-11.4,0.0,0.0,9.9,20.5,True,-12.5,0.0,0.0,7.6,18.0,True,-13.1,0.0,0.0,8.9,15.5,True,-14.4,0.0,0.0,5.8,15.5,True,-14.9,0.0,0.0,8.1,13.0,True,-14.3,0.0,0.0,9.8,16.9,True
2025-02-20,0,0.6300000000000001,0.6300000000000001,0.6300000000000001,1.2600000000000002,0.8,1.7000000000000002,1,False,-12.6,5.5875,32.8,-14.05,-12.5,0.0,0.0,6.5,11.9,True,-12.6,0.1,0.07,6.0,11.9,True,-12.6,0.2,0.14,4.9,10.8,True,-12.3,0.1,0.14,4.8,8.6,True,-12.3,0.1,0.07,3.3,8.3,True,-11.6,0.1,0.07,5.2,8.3,True,-11.3,0.1,0.07,6.2,10.4,True,-11.3,0.1,0.07,7.8,13.3,True
2025-02-21,0,0.7000000000000001,0.07,0.0,0.0,0.0,0.0,2,False,-11.7,13.3625,33.5,-14.65,-10.1,0.0,0.0,16.2,30.2,False,-10.8,0.0,0.0,15.1,29.9,False,-11.2,0.0,0.0,14.9,28.1,False,-11.6,0.0,0.0,13.6,27.4,False,-11.6,0.0,0.0,12.8,24.8,False,-11.7,0.0,0.0,12.3,23.4,False,-11.6,0.0,0.0,11.6,22.3,False,-11.4,0.0,0.0,10.4,21.2,False
2025-02-24,0,0.0,0.0,0.0,0.35000000000000003,0.0,0.5,1,False,-2.7,22.65,79.2,-4.2125,-2.3,0.0,0.0,18.1,33.1,True,-1.7,0.0,0.0,18.6,33.8,True,-1.6,0.0,0.0,19.4,36.0,True,-2.7,0.0,0.0,19.7,35.6,True,-2.2,0.0,0.0,22.5,40.7,True,-1.8,0.0,0.0,25.1,45.4,True,-1.4,0.0,0.0,27.7,50.4,True,-1.1,0.0,0.0,30.1,55.4,True
2025-02-25,0,0.35000000000000003,0.0,0.0,0.0,0.4,1.5,2,True,-2.0,12.1625,25.2,-0.75,0.1,0.0,0.0,12.8,23.4,False,0.2,0.0,0.0,14.1,24.8,False,0.3,0.0,0.0,12.4,24.8,False,0.0,0.0,0.0,8.9,21.2,False,0.2,0.0,0.0,13.2,23.4,False,0.2,0.0,0.0,10.8,23.0,False,0.1,0.1,0.0,13.1,22.7,False,0.7,0.3,0.0,12.0,24.5,False
2025-02-26,0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,-8.8,5.8125,20.2,-6.3625,-2.8,0.0,0.0,2.2,12.6,False,-5.1,0.0,0.0,5.8,8.6,False,-4.1,0.0,0.0,8.3,13.3,False,-4.1,0.0,0.0,7.2,14.0,False,-5.9,0.0,0.0,6.0,11.9,False,-7.1,0.0,0.0,5.7,9.0,False,-7.8,0.0,0.0,5.7,9.4,False,-8.8,0.0,0.0,5.6,9.4,False
2025-02-27,0,0.14,0.14,0.14,0.49000000000000005,0.2,0.9,1,False,-4.9,5.9125,46.4,-4.5375,-4.9,0.0,0.0,9.0,14.4,True,-4.7,0.0,0.0,8.9,15.1,True,-3.5,0.0,0.0,8.9,15.5,True,-2.1,0.0,0.0,8.0,15.8,True,-1.6,0.0,0.0,6.1,13.0,True,-1.5,0.1,0.07,3.1,9.7,True,-1.4,0.1,0.07,1.9,4.0,True,-1.4,0.0,0.0,1.4,2.9,True
2025-02-28,0,0.35000000000000003,0.07,0.0,1.4,0.0,2.6,1,False,-7.7,11.0875,74.5,-8.2,-3.7,0.0,0.0,15.9,30.2,True,-4.6,0.0,0.0,15.5,30.2,True,-5.3,0.0,0.0,14.5,29.5,True,-6.3,0.0,0.0,12.4,27.7,True,-6.8,0.0,0.0,11.6,23.4,True,-7.2,0.0,0.0,8.8,21.6,True,-7.4,0.0,0.0,4.2,15.8,True,-7.7,0.0,0.0,5.8,10.4,True
2025-03-03,0,0.56,0.49000000000000005,0.42000000000000004,0.42000000000000004,0.5,0.5,1,False,-7.4,13.025,42.1,-8.925,-7.4,0.2,0.14,11.4,20.5,True,-6.9,0.2,0.14,10.7,20.2,True,-6.6,0.1,0.07,10.0,18.7,True,-6.3,0.0,0.07,10.7,18.7,True,-6.2,0.0,0.0,13.3,23.4,True,-6.2,0.0,0.0,15.5,27.7,True,-6.3,0.0,0.0,16.2,29.5,True,-6.8,0.0,0.0,16.4,30.2,True
2025-03-04,0,0.0,0.0,0.0,0.21,0.1,4.3,1,False,-2.7,19.3,38.5,-3.975,-2.5,0.0,0.0,20.5,38.2,True,-2.7,0.0,0.0,20.1,37.4,True,-2.6,0.0,0.0,19.2,36.7,True,-1.1,0.0,0.0,19.6,35.6,True,-0.1,0.1,0.0,19.3,36.7,True,0.5,0.0,0.0,17.9,35.3,True,0.9,0.0,0.0,19.2,35.3,True,0.9,0.0,0.0,18.6,34.9,True
2025-03-05,0,0.21,0.0,0.0,0.0,6.2,10.1,2,False,2.8,12.8125,54.7,0.5,2.8,0.4,0.0,7.3,13.0,False,2.8,0.0,0.0,9.4,15.5,False,3.4,0.2,0.0,10.3,17.3,False,3.7,0.7,0.0,10.4,18.4,False,3.7,1.2,0.0,12.9,22.3,False,3.8,0.7,0.0,14.6,25.9,False,4.2,1.3,0.0,17.6,30.6,False,4.8,1.7,0.0,20.0,36.4,False
2025-03-06,1,0.5599999999999999,0.5599999999999999,0.5599999999999999,1.47,6.0,7.3,1,False,-8.5,19.55,73.1,0.16250000000000006,3.0,0.2,0.0,19.4,35.6,True,2.3,0.6,0.0,19.7,36.4,True,1.8,1.3,0.0,18.1,36.7,True,1.5,1.1,0.0,16.4,33.5,True,1.2,0.7,0.0,15.5,29.9,True,0.2,0.7,0.0,20.3,37.8,True,-1.1,0.8,0.21,23.0,44.6,True,-2.4,0.6,0.35,24.0,47.9,True
2025-03-07,1,1.33,0.07,0.07,1.33,0.1,1.9,1,False,-4.8,21.7125,55.8,-6.7125,-4.2,0.0,0.0,17.8,40.7,True,-4.3,0.1,0.07,16.1,33.5,True,-3.0,0.0,0.0,21.5,40.3,True,-3.2,0.0,0.0,22.7,43.6,True,-3.4,0.0,0.0,23.0,43.9,True,-3.7,0.0,0.0,23.9,45.4,True,-4.0,0.0,0.0,24.1,46.4,True,-4.1,0.0,0.0,24.6,47.5,True
2025-03-10,0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,-4.2,9.0375,38.2,-2.7625,1.2,0.0,0.0,13.5,30.2,False,0.3,0.0,0.0,11.3,23.8,False,-0.6,0.0,0.0,10.7,19.4,False,-1.0,0.0,0.0,10.1,19.4,False,-1.6,0.0,0.0,8.1,16.9,False,-2.0,0.0,0.0,6.7,13.7,False,-3.7,0.0,0.0,5.6,11.2,False,-4.2,0.0,0.0,6.3,10.1,False
2025-03-11,0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,-5.8,23.2,51.1,0.35,5.3,0.0,0.0,22.6,41.0,False,5.7,0.0,0.0,23.6,43.9,False,5.7,0.0,0.0,24.4,45.4,False,5.8,0.0,0.0,25.1,47.2,False,5.8,0.0,0.0,24.9,47.2,False,5.4,0.0,0.0,23.3,46.8,False,4.7,0.0,0.0,21.2,43.9,False,3.9,0.0,0.0,20.5,40.0,False
2025-03-12,0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,-7.8,2.4250000000000003,19.8,-9.225,-6.8,0.0,0.0,5.4,11.2,False,-6.8,0.0,0.0,4.2,9.4,False,-6.8,0.0,0.0,1.1,7.9,False,-7.6,0.0,0.0,1.7,3.6,False,-7.8,0.0,0.0,2.1,4.3,False,-6.8,0.0,0.0,1.5,4.0,False,-5.7,0.0,0.0,0.6,2.9,False,-5.2,0.0,0.0,2.8,5.8,False
2025-03-13,0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,-6.2,3.4125,24.8,-10.9,-5.4,0.0,0.0,4.4,7.6,False,-5.4,0.0,0.0,3.9,7.6,False,-5.6,0.0,0.0,2.9,6.1,False,-5.8,0.0,0.0,2.7,5.0,False,-6.0,0.0,0.0,2.9,4.7,False,-6.2,0.0,0.0,4.1,6.8,False,-5.8,0.0,0.0,2.8,6.8,False,-5.9,0.0,0.0,3.6,5.8,False
2025-03-14,0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,-1.6,9.6875,43.2,-6.3375,-1.3,0.0,0.0,8.7,14.4,False,-1.6,0.0,0.0,9.9,16.2,False,-1.4,0.0,0.0,10.5,18.0,False,-1.0,0.0,0.0,9.7,17.6,False,-1.0,0.0,0.0,9.1,16.2,False,-0.9,0.0,0.0,9.3,15.5,False,-1.3,0.0,0.0,9.5,15.8,False,-1.3,0.0,0.0,10.8,18.0,False
2025-03-24,0,1.4700000000000002,1.4700000000000002,1.33,5.6000000000000005,2.5,8.9,0,True,-0.7,25.7875,70.9,-0.5750000000000001,-0.7,0.7,0.49,23.4,44.3,True,0.2,0.7,0.49,22.4,45.0,True,1.5,0.3,0.21,24.8,47.2,True,1.7,0.2,0.07,27.3,51.8,True,1.5,0.5,0.07,26.1,52.6,True,2.2,0.1,0.0,26.5,51.5,True,1.7,0.0,0.0,28.0,53.3,True,1.1,0.0,0.0,27.8,54.7,True
2025-03-25,0,4.69,1.75,0.42000000000000004,1.75,0.6000000000000001,2.5,1,False,-2.6,17.95,45.4,-2.6750000000000003,-0.5,0.1,0.07,20.0,41.0,True,-0.8,0.1,0.07,17.9,38.9,True,-0.8,0.1,0.07,18.6,35.6,True,-0.9,0.1,0.07,18.8,36.0,True,-0.9,0.1,0.07,19.4,37.1,True,-0.9,0.1,0.07,16.9,37.1,True,-0.9,0.0,0.0,16.1,32.0,True,-1.2,0.0,0.0,15.9,31.7,True
2025-03-26,0,1.75,0.49000000000000005,0.42000000000000004,0.42000000000000004,0.6000000000000001,0.6000000000000001,1,False,-5.4,10.025,37.1,-5.0,-2.6,0.1,0.07,6.6,14.4,True,-2.5,0.1,0.07,9.2,17.6,True,-2.5,0.1,0.07,11.6,22.3,True,-2.9,0.0,0.0,10.3,22.7,True,-3.2,0.1,0.07,9.0,20.2,True,-3.1,0.1,0.07,10.2,20.5,True,-3.1,0.1,0.07,10.8,22.0,True,-3.2,0.0,0.0,12.5,26.3,True
2025-03-27,0,0.0,0.0,0.0,0.0,0.0,0.2,2,False,-5.3,11.15,50.4,-7.6000000000000005,-4.8,0.0,0.0,9.2,16.9,False,-4.9,0.0,0.0,8.9,16.9,False,-4.8,0.0,0.0,9.0,16.6,False,-4.8,0.0,0.0,10.8,19.8,False,-5.3,0.0,0.0,10.6,19.8,False,-5.2,0.0,0.0,12.4,22.7,False,-4.9,0.0,0.0,13.5,24.8,False,-4.2,0.0,0.0,14.8,27.7,False
2025-03-28,0,0.0,0.0,0.0,0.0,0.0,9.5,2,False,-2.7,9.3875,43.2,-4.275,-1.3,0.0,0.0,6.8,14.4,False,-0.8,0.0,0.0,11.1,20.2,False,-1.7,0.0,0.0,8.9,19.8,False,-2.4,0.0,0.0,7.7,15.8,False,-2.7,0.0,0.0,9.0,15.8,False,-2.7,0.0,0.0,9.3,16.9,False,-2.0,0.0,0.0,11.2,21.2,False,-1.4,0.0,0.0,11.1,22.0,False
2025-03-31,1,0.0,0.0,0.0,0.07,0.4,0.7,1,True,-1.3,27.1,55.8,8.4875,12.8,0.0,0.0,29.3,55.4,True,11.8,0.0,0.0,27.8,55.8,True,11.6,0.0,0.0,26.6,52.2,True,11.4,0.1,0.0,28.3,53.6,True,8.1,0.3,0.0,24.8,53.6,True,7.4,0.0,0.0,24.4,46.4,True,6.2,0.0,0.0,26.9,50.8,True,4.2,0.0,0.0,28.7,55.8,True
2025-11-17,0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,-0.6,16.3625,54.4,-7.1625,-0.5,0.0,0.0,16.3,31.3,False,-0.6,0.0,0.0,17.1,32.8,False,-0.4,0.0,0.0,15.7,32.0,False,-0.2,0.0,0.0,17.0,32.0,False,-0.1,0.0,0.0,16.4,32.4,False,-0.1,0.0,0.0,16.1,32.0,False,0.1,0.0,0.0,16.8,32.4,False,-0.3,0.0,0.0,15.5,33.1,False
2025-11-18,0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,0.3,5.7375,22.0,-3.4375,1.3,0.0,0.0,10.4,19.4,False,1.0,0.0,0.0,8.9,19.8,False,0.9,0.0,0.0,7.9,16.2,False,0.9,0.0,0.0,6.8,14.0,False,0.8,0.0,0.0,5.0,12.2,False,0.3,0.0,0.0,2.7,9.0,False,0.6,0.0,0.0,1.3,4.3,False,0.3,0.0,0.0,2.9,2.5,False
2025-11-19,0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,-1.4,6.95,24.1,-4.975,0.9,0.0,0.0,8.2,14.4,False,-0.2,0.0,0.0,9.3,15.1,False,-0.8,0.0,0.0,8.4,16.6,False,-0.9,0.0,0.0,7.5,14.8,False,-1.0,0.0,0.0,8.7,15.1,False,-0.9,0.0,0.0,8.0,15.5,False,-1.4,0.0,0.0,4.5,14.0,False,-0.8,0.0,0.0,1.0,6.8,False
2025-11-20,0,0.0,0.0,0.0,0.0,0.0,0.1,2,False,-2.0,7.7125,37.4,-4.175,-0.6,0.0,0.0,6.8,11.9,False,-0.9,0.0,0.0,7.8,13.0,False,-1.1,0.0,0.0,7.2,13.7,False,-1.2,0.0,0.0,6.8,12.6,False,-1.1,0.0,0.0,7.2,12.6,False,-1.2,0.0,0.0,7.7,13.7,False,-2.0,0.0,0.0,7.6,13.7,False,-1.8,0.0,0.0,10.6,15.8,False
2025-11-21,0,0.0,0.0,0.0,0.0,2.3,2.4,2,False,2.1,18.5375,44.6,4.6625,3.7,0.1,0.0,19.1,37.8,False,4.4,0.5,0.0,19.9,36.0,False,5.2,0.6,0.0,18.9,37.1,False,5.3,0.2,0.0,17.9,35.3,False,5.3,0.2,0.0,19.6,35.6,False,5.8,0.5,0.0,19.8,38.9,False,5.6,0.1,0.0,17.4,36.7,False,4.1,0.1,0.0,15.7,31.3,False
2025-11-24,0,0.07,0.0,0.0,0.0,0.0,0.0,2,False,-1.7,6.074999999999999,40.0,-2.225,0.9,0.0,0.0,8.7,20.9,False,0.1,0.0,0.0,7.0,15.1,False,-0.5,0.0,0.0,6.3,12.2,False,-0.8,0.0,0.0,5.1,10.4,False,-0.6,0.0,0.0,4.1,7.6,False,-0.6,0.0,0.0,2.1,6.5,False,-1.7,0.0,0.0,3.6,6.5,False,-1.0,0.0,0.0,11.7,18.0,False
2025-11-25,0,0.0,0.0,0.0,0.0,0.0,5.0,2,False,5.1,13.8625,36.0,0.15,5.1,0.0,0.0,19.1,36.0,False,5.3,0.0,0.0,17.1,35.3,False,5.3,0.0,0.0,15.3,31.3,False,5.1,0.0,0.0,14.0,27.7,False,5.4,0.0,0.0,12.3,25.2,False,5.4,0.0,0.0,11.3,22.3,False,5.5,0.0,0.0,10.8,20.5,False,5.7,0.0,0.0,11.0,19.4,False
2025-11-26,0,0.0,0.0,0.0,0.56,0.7,3.9,1,True,1.0,12.7625,59.8,7.0625,6.4,0.3,0.0,8.6,15.5,True,6.9,0.1,0.0,11.8,21.6,True,7.2,0.0,0.0,12.9,23.4,True,7.3,0.1,0.0,13.6,24.8,True,7.4,0.2,0.0,14.4,26.6,True,7.7,0.0,0.0,14.7,28.4,True,7.7,0.0,0.0,13.1,26.6,True,7.8,0.0,0.0,13.0,26.3,True
2025-11-27,1,3.92,3.8499999999999996,3.36,5.39,5.5,8.4,0,False,-2.3,29.2625,62.3,-0.975,0.9,1.0,0.7,25.2,52.2,True,1.4,1.3,0.84,32.1,60.1,True,1.4,1.2,0.63,30.3,62.3,True,0.9,0.7,0.28,31.6,60.1,True,0.7,0.4,0.28,29.7,60.8,True,0.4,0.1,0.07,28.3,56.9,True,0.1,0.3,0.21,27.3,54.7,True,0.3,0.5,0.35,29.6,58.0,True
2025-11-28,1,2.4499999999999997,0.35000000000000003,0.07,0.35000000000000003,0.2,0.6000000000000001,1,False,-2.8,19.075,59.0,-5.1375,-2.3,0.0,0.0,18.2,35.3,True,-2.2,0.0,0.0,18.8,37.1,True,-2.5,0.1,0.07,18.1,36.0,True,-2.8,0.0,0.0,17.1,34.9,True,-2.8,0.0,0.0,18.3,35.6,True,-2.8,0.1,0.0,18.6,36.4,True,-2.7,0.0,0.0,20.4,39.6,True,-1.9,0.0,0.0,23.1,43.2,True
2025-12-01,0,4.9,0.0,0.0,0.35000000000000003,0.0,0.5,1,False,-8.0,8.3375,33.5,-8.9375,-5.4,0.0,0.0,14.9,33.5,True,-6.0,0.0,0.0,14.1,28.1,True,-6.5,0.0,0.0,11.1,27.0,True,-6.7,0.0,0.0,8.7,20.9,True,-7.0,0.0,0.0,6.8,16.2,True,-7.8,0.0,0.0,5.0,12.2,True,-8.0,0.0,0.0,2.5,7.9,True,-7.7,0.0,0.0,3.6,4.7,True
2025-12-02,0,0.56,0.56,0.21000000000000002,0.21000000000000002,0.30000000000000004,0.30000000000000004,1,False,-8.1,13.275,31.7,-7.7125,-5.1,0.1,0.07,16.0,31.7,True,-5.7,0.1,0.07,14.8,30.2,True,-5.8,0.0,0.0,13.7,27.0,True,-5.8,0.1,0.07,13.1,25.6,True,-5.7,0.0,0.0,13.2,24.8,True,-5.8,0.0,0.0,13.5,25.2,True,-6.2,0.0,0.0,11.6,24.5,True,-7.1,0.0,0.0,10.3,20.5,True
2025-12-03,0,0.07,0.07,0.07,2.8000000000000003,0.1,4.1,1,False,-4.7,19.5125,64.1,-4.6,-4.7,0.0,0.0,16.4,30.6,True,-4.0,0.0,0.0,17.5,31.7,True,-3.4,0.0,0.0,17.7,33.8,True,-2.0,0.0,0.0,18.9,36.0,True,-1.6,0.0,0.0,19.7,37.4,True,-1.2,0.0,0.0,20.3,38.9,True,-1.1,0.0,0.0,22.1,43.2,True,-1.2,0.1,0.07,23.5,46.1,True
2025-12-04,1,3.1500000000000004,1.05,0.35000000000000003,0.91,0.5,1.3,1,False,-14.1,19.725,51.8,-9.4125,-4.0,0.0,0.0,11.7,28.4,True,-4.1,0.1,0.07,15.1,27.4,True,-4.2,0.1,0.07,19.0,34.6,True,-5.1,0.0,0.0,24.3,45.4,True,-6.0,0.0,0.0,25.9,51.8,True,-6.6,0.0,0.0,25.5,49.7,True,-7.4,0.1,0.07,23.3,48.2,True,-8.3,0.2,0.14,13.0,43.2,True
2025-12-05,0,0.7000000000000001,0.0,0.0,0.21000000000000002,0.0,0.30000000000000004,1,False,-11.7,20.9125,49.0,-14.325,-11.7,0.0,0.0,15.8,28.8,True,-11.3,0.0,0.0,17.7,32.8,True,-11.2,0.0,0.0,19.3,36.7,True,-10.6,0.0,0.0,20.3,38.5,True,-10.5,0.0,0.0,22.8,43.6,True,-10.4,0.0,0.0,23.8,46.1,True,-10.6,0.0,0.0,23.8,46.1,True,-9.7,0.0,0.0,23.8,46.4,True
2025-12-08,0,2.38,0.0,0.0,0.35000000000000003,0.0,0.5,1,False,-19.1,8.0625,26.3,-15.1,-10.1,0.0,0.0,13.9,26.3,True,-10.4,0.0,0.0,13.3,24.8,True,-10.2,0.0,0.0,10.9,22.7,True,-10.6,0.0,0.0,8.4,18.7,True,-11.8,0.0,0.0,6.6,14.4,True,-13.4,0.0,0.0,5.6,11.2,True,-15.2,0.0,0.0,3.9,8.6,True,-16.6,0.0,0.0,1.9,6.5,True
2025-12-09,0,0.35000000000000003,0.0,0.0,2.38,0.0,3.5,1,False,-10.0,17.4875,52.6,-12.925,-8.1,0.0,0.0,15.6,28.8,True,-8.4,0.0,0.0,16.9,30.6,True,-8.2,0.0,0.0,17.4,31.7,True,-8.5,0.0,0.0,17.7,32.8,True,-9.6,0.0,0.0,16.4,32.8,True,-10.0,0.0,0.0,16.6,30.2,True,-9.4,0.0,0.0,17.7,32.8,True,-8.1,0.0,0.0,21.6,37.4,True
2025-12-10,1,4.13,1.8900000000000001,1.75,5.6000000000000005,2.5,8.0,0,False,-8.9,8.75,46.4,-3.95,-2.0,0.0,0.0,14.2,32.4,True,-2.0,0.0,0.0,10.9,26.6,True,-2.2,0.0,0.0,5.3,19.4,True,-2.6,0.0,0.0,1.9,9.0,True,-2.8,0.1,0.07,6.0,10.1,True,-2.8,0.2,0.14,10.9,19.4,True,-2.4,0.6,0.42,10.5,19.8,True,-2.2,1.6,1.12,10.3,24.1,True
2025-12-11,1,4.97,0.0,0.0,0.0,0.0,0.0,2,False,-11.1,13.45,34.9,-13.1375,-9.5,0.0,0.0,15.6,34.9,False,-9.9,0.0,0.0,15.2,29.2,False,-10.0,0.0,0.0,13.8,26.6,False,-9.8,0.0,0.0,13.6,24.5,False,-10.2,0.0,0.0,13.4,24.5,False,-10.5,0.0,0.0,13.0,24.8,False,-10.9,0.0,0.0,11.3,23.0,False,-11.1,0.0,0.0,11.7,24.5,False
2025-12-12,0,0.0,0.0,0.0,0.77,0.0,1.1,1,False,-13.5,8.7,38.5,-12.55,-9.8,0.0,0.0,7.6,17.6,True,-11.1,0.0,0.0,5.1,12.6,True,-12.2,0.0,0.0,4.1,7.2,True,-13.5,0.0,0.0,5.6,8.6,True,-12.1,0.0,0.0,6.6,9.0,True,-9.1,0.0,0.0,10.7,16.6,True,-5.2,0.0,0.0,15.2,26.3,True,-4.2,0.0,0.0,14.7,29.9,True
2025-12-15,0,0.9800000000000001,0.9800000000000001,0.9800000000000001,3.08,1.7000000000000002,4.8,1,False,-11.6,7.7625,64.4,-10.675,-11.6,0.1,0.07,8.6,13.7,True,-10.8,0.3,0.14,10.6,16.6,True,-9.8,0.2,0.14,8.5,18.4,True,-9.2,0.2,0.14,7.3,14.8,True,-9.1,0.2,0.14,4.1,12.6,True,-9.1,0.4,0.21,3.6,7.2,True,-8.2,0.2,0.07,6.0,10.8,True,-5.1,0.1,0.07,13.4,18.7,True
2025-12-16,0,2.17,0.63,0.0,0.0,0.0,0.0,2,False,-5.7,11.625,72.4,-6.0875,-4.2,0.0,0.0,10.0,20.2,False,-4.2,0.0,0.0,10.4,18.4,False,-4.0,0.0,0.0,10.5,19.4,False,-4.1,0.0,0.0,9.9,19.4,False,-4.6,0.0,0.0,10.4,18.7,False,-4.8,0.0,0.0,11.4,20.9,False,-4.8,0.0,0.0,13.2,23.4,False,-4.5,0.0,0.0,17.2,32.0,False
2025-12-17,1,0.0,0.0,0.0,0.0,0.1,0.1,2,False,-3.7,33.35,74.9,-1.225,0.8,0.1,0.0,37.9,74.9,False,1.4,0.0,0.0,36.1,70.9,False,1.6,0.0,0.0,36.3,68.0,False,1.8,0.0,0.0,34.8,68.0,False,2.0,0.0,0.0,32.7,64.8,False,2.2,0.0,0.0,32.5,60.8,False,2.2,0.0,0.0,30.4,60.1,False,2.0,0.0,0.0,26.1,56.5,False
2025-12-18,0,0.0,0.0,0.0,0.0,0.0,1.6,2,False,-2.6,20.8625,77.0,-2.1374999999999997,-2.6,0.0,0.0,17.4,29.9,False,-0.9,0.0,0.0,21.3,39.6,False,-0.1,0.0,0.0,20.2,39.6,False,0.1,0.0,0.0,19.3,37.1,False,0.5,0.0,0.0,19.2,34.9,False,1.2,0.0,0.0,19.5,36.0,False,1.9,0.0,0.0,23.5,42.5,False,2.2,0.0,0.0,26.5,46.4,False
2025-12-19,1,3.15,3.15,3.15,6.23,8.2,12.6,0,False,-7.3,25.825,76.0,2.175,6.7,0.3,0.0,35.6,72.7,True,6.3,0.8,0.0,30.6,68.0,True,4.9,0.8,0.0,23.6,58.3,True,1.9,1.1,0.14,23.7,48.6,True,1.0,2.6,1.47,20.4,45.4,True,0.9,1.2,0.63,23.5,44.3,True,0.8,0.7,0.42,25.9,50.0,True,0.5,0.7,0.49,23.3,50.0,True
2026-01-05,1,2.73,2.52,2.52,4.62,3.6,6.7,0,False,-9.2,15.225,37.4,-8.525,-9.2,0.0,0.0,9.6,18.0,True,-8.4,0.0,0.0,9.7,16.9,True,-6.8,0.1,0.07,13.4,23.0,True,-5.6,0.3,0.21,16.6,30.6,True,-5.3,0.5,0.35,18.4,34.2,True,-5.1,0.7,0.49,18.7,35.3,True,-4.5,0.9,0.63,18.3,36.4,True,-4.1,1.1,0.77,17.1,34.2,True
2026-01-06,1,2.87,0.0,0.0,0.77,0.0,3.0,1,True,-1.9,9.3375,21.6,-2.475,-1.9,0.0,0.0,7.6,12.2,True,-1.5,0.0,0.0,10.4,17.6,True,-1.3,0.0,0.0,9.6,18.0,True,-1.1,0.0,0.0,9.7,17.3,True,-0.9,0.0,0.0,8.6,18.4,True,-0.9,0.0,0.0,8.5,14.8,True,-0.9,0.0,0.0,9.6,17.3,True,-1.5,0.0,0.0,10.7,19.1,True
2026-01-07,0,1.05,0.7000000000000001,0.28,0.28,0.4,0.4,1,False,-0.2,6.675,25.6,-0.3375,0.1,0.1,0.07,6.4,15.1,True,0.1,0.2,0.14,6.0,13.0,True,0.1,0.1,0.07,5.5,10.8,True,0.0,0.0,0.0,4.4,9.7,True,-0.2,0.0,0.0,7.8,13.7,True,-0.2,0.0,0.0,7.7,15.1,True,-0.1,0.0,0.0,6.9,13.7,True,0.3,0.0,0.0,8.7,13.7,True
